Turnabout,8
Topline Records,1
Nonesuch 1983 LP,1
Prestige LP 7087,1
GM 3050CD,1
Emanem (CD 5012),1
Owl Studios,1
LP Hyperion,1
Decca 6049,1
CD / SONY,1
Piadrum Records,3
CD 87 089,1
Caracol,2
EMI ECLP 2275,1
Atom Music Ltd.,4
Reservoir Music,1
Old Hat,5
Elysium Recordings,1
Kurl,3
ESP 4051,1
CBS M 37850,1
EMI,135
REG 2047,1
CD/ ECM New Series/ CD 1825,1
Leo Records 256,1
Center of the World/Sun Records,1
Veritas,1
MonkeyPants Records,2
"Erato, CD, 2292-45601",1
Equinox,1
26 Years of New York New Music,1
Evidence Records,2
Owl 077 8309932,1
LP London ffrr CS 6440,1
Polygram Iberica,3
Renaissance X-26,2
Roots Reggae,2
Vanguard Classics OVC 8102,2
Milestone Records,9
Vanguard Classics OVC 8104,4
CRI SD548,1
Weight of Wax,1
Archiv 453 487-2,1
CD/Montaigne 782005,1
Naxos 8.550625,1
Castle LP 8105,1
RCA Victor Gold Seal,6
SMK 45837,1
LP (Angel S 36421),1
Denon,7
Angel 35981,1
Jasrac,13
Angel 35982,1
Black Jazz,2
Thesaurus transcription,2
MHS 84667Y,1
Ecm,1
Important,1
London 5911,5
Sony Music,6
Columbia 7058,1
Columbia Y 34616,1
Arcana (A 304),9
LP/Scepter,3
Enja,74
CGI,2
Vanguard SRV 226 (LP),1
Labor Records - LAB 7090,1
289 463 284-2,2
LP/ Epic/ Stereo BC 1346,1
Silva Classics,3
Captiol,8
Atlantic (1312),1
Ultraphonic,4
Psi 05.01,1
Raretone RTR 24003,1
Session Disc,1
Soul Note SN 1029,1
Jazzland (JLP 972),1
"nonesuch, LP, H-71066",1
New Albion NA004,1
Vanguard Classics OVC 2533/34,3
Wounded Bird Records,1
"CD, BBC Music (BBCL 4035-2)",1
EMI CDNF 147795,1
Prestige 7667,1
MCA Classics,1
Indigo France,1
Solid State 19000,1
"Мелодия, C10 20547 003",1
Global Village Music,1
Columbia M 22980,1
Blue Trac,1
CRI (CD 582),1
SteepleChase Records SCS-1124,1
The Tatum Group Masterpieces,1
Columbia Records M2 33510,2
VAIA 1187,5
CD / CRI 682,1
Argo ZRG 690,1
Widowspeak,1
D.Y.M.,1
Argo ZRG 699,2
RCA LSC-3282,1
Bluebird,215
Trytone,1
CRS 4180,1
Catalyst 09026-61824-2 (CD),1
Birth 0027,1
Verve V-8714,1
Praga,3
Pink Tomato Music 1996,1
Southern Mountain Melodies,2
India Archive Music CD 1078,1
Archiv 410 706-1,2
Hermitage Tapes,2
Tompkins Square Records,4
Vital Records,2
CD / Quintessence 1963,1
CD/ Supraphon,1
Osmosis Records 6001,1
Not Two,4
Witte Dood,1
Art Noise 6,1
SK 60646,1
Ryko,2
Black Saint BSR 0054,1
hyperion,3
CRI Emergency Music,2
Cramps,7
Revelation 18,1
GAPS 070,1
CD/ Elektra Nonesuch,1
ESP 1060,1
SLS 844,1
Nonesuch 71408,1
RCA ARL1-3341,1
CDA67455,1
Smithsonian Folkways Recordings LC 9628,1
Organized Sound Record,1
Vocalion 05523,1
Screwgun,2
Affinity AFF 81,1
RCA mono,1
Everest 6015,1
CD EMI 7243 5 56981 2 4,1
WER 60 099,1
SAGA 5338,7
VGM,1
CD Harmonia Mundi LC 7045,1
Unreleased (?),2
Spurt Records,1
Jessup,1
Angel S-36870,1
High Windy Audio,1
Blue Note CD 40528,2
OPS 10-008,1
Hungaroton - SLPX 12602 (LP),1
Esp-Disk,1
Blue Note (84217),1
Pierian,1
ECM New Series [CD 1884],1
Contemporary Records,26
Savoy 570,1
Wergo 6622-2,1
Evening Star ES-102,1
Opal Music,1
Hardedge,2
Deutsche Grammophon 00289 477 5327,1
Ace of Hearts AH 34,2
1k Recordings,1
Tradition Records,9
Naxos 8.559174,2
PM 371,1
CD/Koch,2
Landor/Barcelona DTL CD 111,2
Sony BMG Music Entertainment,6
Pablo Records,23
Riverside,291
New World Records 80527-2,1
RCA FXM1 7186,2
Columbia ML 4961,1
Daptone Records (DAP-1025),1
IARJC-JA4,1
Avie Records,1
Capitol Classics P-8232,1
AUM Fidelity,56
Blue Note 4/28/58,1
United Artists 4007,1
Music-Appreciation Records MAR 5611,1
Folklyric Records 9037,1
Conifer CDCF 168,2
Folklyric Records 9035,1
OX 2014,1
Astrée (AS 128528),1
ECM New Series 78118-21587-2,1
Métier Records,3
W-9017,4
Trip Jazz (TLP-8021),1
Esquilo Records,1
Trans Museq 4,2
Trans Museq 5,1
Pogus Productions,12
Columbia ML 5616,1
Trans Museq 2,1
Vaya Records,4
Columbia 11/50,1
Mack Avenue,9
Ediciones Singulares,1
Trans Museq 8,1
MSR Classics,3
LP/ Musical Heritage Society,2
Carrere Records,1
Deutsche Harmonia Mundi 77071-2-RG,1
